,region,artist
0,Argentina,16
1,Australia,50
2,Austria,33
3,Belgium,47
4,Bolivia,12
5,Brazil,16
6,Bulgaria,17
7,Canada,42
8,Chile,19
9,Colombia,17
10,Costa Rica,20
11,Czech Republic,41
12,Denmark,24
13,Dominican Republic,9
14,Ecuador,11
15,Egypt,6
16,El Salvador,12
17,Estonia,23
18,Finland,36
19,France,23
20,Germany,27
21,Global,35
22,Greece,27
23,Guatemala,13
24,Honduras,9
25,Hong Kong,17
26,Hungary,47
27,Iceland,28
28,India,6
29,Indonesia,14
30,Ireland,58
31,Israel,16
32,Italy,18
33,Japan,19
34,Latvia,29
35,Lithuania,27
36,Luxembourg,11
37,Malaysia,20
38,Mexico,19
39,Morocco,8
40,Netherlands,38
41,New Zealand,39
42,Nicaragua,9
43,Norway,35
44,Panama,12
45,Paraguay,9
46,Peru,13
47,Philippines,12
48,Poland,43
49,Portugal,37
50,Romania,22
51,Russia,11
52,Saudi Arabia,21
53,Singapore,18
54,Slovakia,23
55,South Africa,27
56,South Korea,7
57,Spain,16
58,Sweden,43
59,Switzerland,33
60,Taiwan,31
61,Thailand,15
62,Turkey,17
63,Ukraine,15
64,United Arab Emirates,19
65,United Kingdom,72
66,United States,42
67,Uruguay,14
68,Vietnam,10
